  month  | total_stakes | avg_stakes_per_day 
---------+--------------+--------------------
 2025-10 |         8408 |                280
 2025-09 |        13483 |                449
 2025-08 |        13869 |                462
 2025-07 |        17914 |                597
 2025-06 |        18711 |                624
 2025-05 |        14118 |                471
 2025-04 |        13101 |                437
 2025-03 |        13425 |                448
 2025-02 |        12555 |                419
 2025-01 |        13935 |                465
 2024-12 |        14723 |                491
 2024-11 |        16234 |                541
 2024-10 |        19227 |                641
 2024-09 |        17952 |                598
 2024-08 |        18889 |                630
 2024-07 |        18644 |                621
 2024-06 |        17260 |                575
 2024-05 |        17911 |                597
 2024-04 |        17991 |                600
 2024-03 |        18097 |                603
 2024-02 |        17673 |                589
 2024-01 |        18756 |                625
 2023-12 |        18542 |                618
 2023-11 |        18081 |                603
 2023-10 |        10197 |                340
 2023-09 |         6009 |                200
 2023-08 |         6426 |                214
 2023-07 |         5465 |                182
 2023-06 |         5325 |                178
 2023-05 |         3447 |                115
(30 rows)

