          identity_address          | stake_count |      first_stake       |       last_stake       
------------------------------------+-------------+------------------------+------------------------
 i3e58spKWTLTTvX9T599KJ4x7QdgBCvQKD |         375 | 2022-03-01 21:29:21+00 | 2024-10-17 21:53:10+01
 i3h2K2jj4fiJPhiPcPcPaKcx5hhPHyV1EM |           1 | 2020-08-06 10:11:01+01 | 2020-08-06 10:11:01+01
 i3kqYJL6Zk1jzQAidf9FojnPQtJeCCpZ8u |         417 | 2023-09-28 07:05:25+01 | 2025-10-25 08:36:26+01
 i3sqaXanH7ZQPrzNG7XGQpeDRWxsu3ThJj |        2420 | 2022-03-11 07:43:55+00 | 2025-10-26 09:05:13+00
 i3VA3QoyVkXxogL9uVF3vAwGjSg2Yakatu |           2 | 2025-04-07 01:26:39+01 | 2025-09-04 03:52:31+01
 i3ztpmACxg2UJnY3AZack1oiFRb2vSKKjL |           1 | 2024-02-03 01:48:33+00 | 2024-02-03 01:48:33+00
 i41PfpVaaeaodXcc9FEeKHVLbgi3iGXDa8 |         540 | 2020-07-11 23:26:24+01 | 2025-10-25 00:32:44+01
 i45uT6MuEM9vmdg7rVmsDE86CYFgcgvi9U |           1 | 2025-09-14 07:49:21+01 | 2025-09-14 07:49:21+01
 i46cLVFWbtRw4jmetbSeX2R5VbDTck3wNP |         191 | 2021-02-26 08:34:48+00 | 2025-04-30 04:03:29+01
 i46F7ZH49f57e6udc9nStaa6TvDWBVh7f6 |        2498 | 2024-12-19 23:31:09+00 | 2025-07-15 10:11:40+01
 i46SnFVpFaVcUsmNaf45aSbs4dvWSv7RE7 |           1 | 2024-08-07 08:51:39+01 | 2024-08-07 08:51:39+01
 i46XJkDT7ogKZro2R1LV3YKRt97pNCkSPu |          38 | 2020-08-27 11:57:43+01 | 2021-04-18 08:07:03+01
 i4bKvoKBBqfSdVwLLWpy9T79yVbSUBcKZw |        1109 | 2021-04-25 19:32:19+01 | 2024-12-17 14:41:32+00
 i4F2JY5a4bGfgVYY1ZXGvy2xGeGMCb4Fd8 |        1113 | 2024-10-07 00:34:17+01 | 2025-10-01 23:12:02+01
 i4HNQTVrZAHpdDJ8f99YQYqh6UxTFfd7E3 |           1 | 2025-07-04 00:31:03+01 | 2025-07-04 00:31:03+01
 i4J25XwAkznw1yhkwbdLAgy1UNqsrkws2V |         425 | 2021-11-06 19:45:02+00 | 2025-06-23 11:16:25+01
 i4LjULQDZuccbuZqTaGuBkMViGgFCSTHgn |        3015 | 2024-10-06 16:32:19+01 | 2025-10-12 04:03:42+01
 i4LUDfR98N258gFMQTmhHVDpJL8avwU3G9 |         958 | 2024-10-07 07:15:48+01 | 2025-10-11 17:53:26+01
 i4mDqh9cDmCM2R2n8GtzrwcCQqBD8RTGsL |           1 | 2022-04-13 23:31:44+01 | 2022-04-13 23:31:44+01
 i4NpJp1vqrXgDvSNBXkNYvTR1VF2HMkeDA |         117 | 2020-06-22 00:57:51+01 | 2025-03-05 07:02:56+00
 i4oHnw4JhYts9f9Y94xoR3XF3HtaFSaF9S |          40 | 2023-05-11 01:09:18+01 | 2023-12-02 18:42:25+00
 i4QurFAWw8WNfuuwYAtrHi1Mp8MksZGE6Q |         168 | 2021-05-08 23:46:09+01 | 2025-03-06 06:17:11+00
 i4QzcPvvxznVTc3H8YMeYuG4ZdB3XQymME |           2 | 2024-06-17 19:42:41+01 | 2024-08-19 06:00:59+01
 i4SxYcUDTXqanaZ4HQDGbcxdox7kcXhZP5 |           3 | 2023-10-28 15:54:01+01 | 2024-01-18 10:27:51+00
 i4UxDzYtNR5oeGEEVritXuzAKjKzoVgiPK |        1380 | 2020-09-10 01:46:53+01 | 2025-10-25 04:04:31+01
 i4XNKC9oyuPK2Mo9Ltmqi3G2hcPceJQ5j6 |         102 | 2022-02-28 16:02:40+00 | 2024-02-15 19:08:08+00
 i53NorA4Qt1Zr5MQnQpihUzje9BjLbwU8r |           2 | 2023-10-03 22:17:55+01 | 2025-08-02 17:45:37+01
 i55fNasyobC8mReXLHpTH8hk5srapCGsmo |           3 | 2023-04-09 19:24:59+01 | 2023-12-21 22:28:08+00
 i5DTR2ApwrfDBGQe5kwkbKgA3Afq9MD7Pr |          80 | 2021-12-10 03:00:26+00 | 2024-06-30 12:11:37+01
 i5fkgEJyCy79Hhcy2X2exLPP9Z3a7wmLv3 |         399 | 2023-04-01 09:21:27+01 | 2024-09-16 18:09:38+01
 i5NN56urB32kkH8gtDwEebJvMC2njL6ZN5 |          13 | 2025-01-26 04:56:01+00 | 2025-10-19 22:20:19+01
 i5nQeKAWmxaXdNYv36qLQzz6XV8gZEqbaV |        1353 | 2023-06-03 03:49:18+01 | 2025-10-17 12:07:39+01
 i5nse5Gb11FKyvc8q3VKxvLLrxYsKctCiP |         281 | 2021-01-09 08:56:33+00 | 2024-09-22 20:33:23+01
 i5RZ1X2nQXGtneQDVhA41Pew37gz3kbiUf |           3 | 2020-08-21 03:29:51+01 | 2020-10-01 01:48:22+01
 i5sm4ZeUDqgPEmd5dh6M6cXCBVjSDQgAZ6 |         182 | 2023-02-22 07:59:21+00 | 2024-12-30 18:36:08+00
 i5tk4i3VoxhGZZ4hibaAXmy8Y7Zr1XsLhE |           2 | 2023-10-30 02:26:45+00 | 2023-11-17 04:11:33+00
 i5TS8eTfyA3iUjUtG4u8brVb5oFQGLeka9 |           5 | 2023-09-22 20:56:43+01 | 2024-09-26 07:19:22+01
 i5v3h9FWVdRFbNHU7DfcpGykQjRaHtMqu7 |       28250 | 2020-06-24 23:26:53+01 | 2025-10-26 14:44:40+00
 i5w5MuNik5NtLcYmNzcvaoixooEebB6MGV |           5 | 2023-11-16 10:09:53+00 | 2025-04-30 19:20:05+01
 i5WRGYfHJbSaWuj4u85ypKW5PVisESrvY1 |        1621 | 2021-08-24 13:43:55+01 | 2024-06-29 08:17:51+01
 i5Y6GLecTQAdrY7rKZdh1xcRbgTfgVNuPh |           1 | 2023-03-03 13:03:14+00 | 2023-03-03 13:03:14+00
 i5Z9TTBmafFQAb6cWjiDTDp756bGoUUqwY |           7 | 2022-06-29 12:57:47+01 | 2023-10-28 23:07:44+01
 i6513t8Ax1LWkRqf8qK29iLY8Nvsd2zZX5 |          67 | 2021-12-19 18:22:11+00 | 2025-07-04 16:34:36+01
 i65HktiKrEDtKTFu2RVK3Xq9fLCVcbJpnD |         155 | 2024-06-15 03:43:46+01 | 2025-10-26 01:36:39+00
 i65ipFGotpmkPTzxMKs1jBC4DfSNktwYvW |         346 | 2020-08-20 21:03:06+01 | 2025-07-09 20:35:56+01
 i675aMhsNGr4pd4jYtheZ4hBkwa28X3ygr |         118 | 2023-11-17 12:18:14+00 | 2024-05-25 13:42:00+01
 i6c5WNgikStWmV7jubt42R8GFwR6mkBDQ5 |        1521 | 2023-10-08 11:28:14+01 | 2025-10-26 05:39:26+00
 i6C7XYJ2rBdRcQCgeTHVKgXr7KttK8D3e9 |         266 | 2023-08-16 02:46:20+01 | 2024-10-16 09:30:21+01
