          identity_address          |                             friendly_name                              | stake_count |      first_stake       |       last_stake       
------------------------------------+------------------------------------------------------------------------+-------------+------------------------+------------------------
 i3e58spKWTLTTvX9T599KJ4x7QdgBCvQKD | Ernie.VRSC@                                                            |         375 | 2022-03-01 21:29:21+00 | 2024-10-17 21:53:10+01
 i3h2K2jj4fiJPhiPcPcPaKcx5hhPHyV1EM | unknown.VRSC@                                                          |           1 | 2020-08-06 10:11:01+01 | 2020-08-06 10:11:01+01
 i3kqYJL6Zk1jzQAidf9FojnPQtJeCCpZ8u | depot.VRSC@                                                            |         417 | 2023-09-28 07:05:25+01 | 2025-10-25 08:36:26+01
 i3sqaXanH7ZQPrzNG7XGQpeDRWxsu3ThJj | Mark81.VRSC@                                                           |        2420 | 2022-03-11 07:43:55+00 | 2025-10-26 09:05:13+00
 i3VA3QoyVkXxogL9uVF3vAwGjSg2Yakatu | Verus-Ethereum-Witness-10.VRSC@                                        |           2 | 2025-04-07 01:26:39+01 | 2025-09-04 03:52:31+01
 i3ztpmACxg2UJnY3AZack1oiFRb2vSKKjL | unknown.VRSC@                                                          |           1 | 2024-02-03 01:48:33+00 | 2024-02-03 01:48:33+00
 i41PfpVaaeaodXcc9FEeKHVLbgi3iGXDa8 | Farinole.VRSC@                                                         |         540 | 2020-07-11 23:26:24+01 | 2025-10-25 00:32:44+01
 i45uT6MuEM9vmdg7rVmsDE86CYFgcgvi9U | brainchild.VRSC@                                                       |           1 | 2025-09-14 07:49:21+01 | 2025-09-14 07:49:21+01
 i46cLVFWbtRw4jmetbSeX2R5VbDTck3wNP | unknown.VRSC@                                                          |         191 | 2021-02-26 08:34:48+00 | 2025-04-30 04:03:29+01
 i46F7ZH49f57e6udc9nStaa6TvDWBVh7f6 | unknown.VRSC@                                                          |        2498 | 2024-12-19 23:31:09+00 | 2025-07-15 10:11:40+01
 i46SnFVpFaVcUsmNaf45aSbs4dvWSv7RE7 | unknown.VRSC@                                                          |           1 | 2024-08-07 08:51:39+01 | 2024-08-07 08:51:39+01
 i46XJkDT7ogKZro2R1LV3YKRt97pNCkSPu | unknown.VRSC@                                                          |          38 | 2020-08-27 11:57:43+01 | 2021-04-18 08:07:03+01
 i4bKvoKBBqfSdVwLLWpy9T79yVbSUBcKZw | unknown.VRSC@                                                          |        1109 | 2021-04-25 19:32:19+01 | 2024-12-17 14:41:32+00
 i4F2JY5a4bGfgVYY1ZXGvy2xGeGMCb4Fd8 | egely.VRSC@                                                            |        1113 | 2024-10-07 00:34:17+01 | 2025-10-01 23:12:02+01
 i4HNQTVrZAHpdDJ8f99YQYqh6UxTFfd7E3 | unknown.VRSC@                                                          |           1 | 2025-07-04 00:31:03+01 | 2025-07-04 00:31:03+01
 i4J25XwAkznw1yhkwbdLAgy1UNqsrkws2V | Knajii.VRSC@                                                           |         425 | 2021-11-06 19:45:02+00 | 2025-06-23 11:16:25+01
 i4LjULQDZuccbuZqTaGuBkMViGgFCSTHgn | mined.VRSC@                                                            |        3015 | 2024-10-06 16:32:19+01 | 2025-10-12 04:03:42+01
 i4LUDfR98N258gFMQTmhHVDpJL8avwU3G9 | vqubic.VRSC@                                                           |         958 | 2024-10-07 07:15:48+01 | 2025-10-11 17:53:26+01
 i4mDqh9cDmCM2R2n8GtzrwcCQqBD8RTGsL | unknown.VRSC@                                                          |           1 | 2022-04-13 23:31:44+01 | 2022-04-13 23:31:44+01
 i4NpJp1vqrXgDvSNBXkNYvTR1VF2HMkeDA | mike.VRSC@                                                             |         117 | 2020-06-22 00:57:51+01 | 2025-03-05 07:02:56+00
 i4oHnw4JhYts9f9Y94xoR3XF3HtaFSaF9S | Dano.VRSC@                                                             |          40 | 2023-05-11 01:09:18+01 | 2023-12-02 18:42:25+00
 i4QurFAWw8WNfuuwYAtrHi1Mp8MksZGE6Q | unknown.VRSC@                                                          |         168 | 2021-05-08 23:46:09+01 | 2025-03-06 06:17:11+00
 i4QzcPvvxznVTc3H8YMeYuG4ZdB3XQymME | unknown.VRSC@                                                          |           2 | 2024-06-17 19:42:41+01 | 2024-08-19 06:00:59+01
 i4SxYcUDTXqanaZ4HQDGbcxdox7kcXhZP5 | unknown.VRSC@                                                          |           3 | 2023-10-28 15:54:01+01 | 2024-01-18 10:27:51+00
 i4UxDzYtNR5oeGEEVritXuzAKjKzoVgiPK | paco.VRSC@                                                             |        1380 | 2020-09-10 01:46:53+01 | 2025-10-25 04:04:31+01
 i4XNKC9oyuPK2Mo9Ltmqi3G2hcPceJQ5j6 | unknown.VRSC@                                                          |         102 | 2022-02-28 16:02:40+00 | 2024-02-15 19:08:08+00
 i53NorA4Qt1Zr5MQnQpihUzje9BjLbwU8r | unknown.VRSC@                                                          |           2 | 2023-10-03 22:17:55+01 | 2025-08-02 17:45:37+01
 i55fNasyobC8mReXLHpTH8hk5srapCGsmo | Kyle.VRSC@                                                             |           3 | 2023-04-09 19:24:59+01 | 2023-12-21 22:28:08+00
 i5DTR2ApwrfDBGQe5kwkbKgA3Afq9MD7Pr | unknown.VRSC@                                                          |          80 | 2021-12-10 03:00:26+00 | 2024-06-30 12:11:37+01
 i5fkgEJyCy79Hhcy2X2exLPP9Z3a7wmLv3 | vaultAF.VRSC@                                                          |         399 | 2023-04-01 09:21:27+01 | 2024-09-16 18:09:38+01
 i5NN56urB32kkH8gtDwEebJvMC2njL6ZN5 | 33.valuid.VRSC@                                                        |          13 | 2025-01-26 04:56:01+00 | 2025-10-19 22:20:19+01
 i5nQeKAWmxaXdNYv36qLQzz6XV8gZEqbaV | paddypool.VRSC@                                                        |        1353 | 2023-06-03 03:49:18+01 | 2025-10-17 12:07:39+01
 i5nse5Gb11FKyvc8q3VKxvLLrxYsKctCiP | unknown.VRSC@                                                          |         281 | 2021-01-09 08:56:33+00 | 2024-09-22 20:33:23+01
 i5RZ1X2nQXGtneQDVhA41Pew37gz3kbiUf | unknown.VRSC@                                                          |           3 | 2020-08-21 03:29:51+01 | 2020-10-01 01:48:22+01
 i5sm4ZeUDqgPEmd5dh6M6cXCBVjSDQgAZ6 | unknown.VRSC@                                                          |         182 | 2023-02-22 07:59:21+00 | 2024-12-30 18:36:08+00
 i5tk4i3VoxhGZZ4hibaAXmy8Y7Zr1XsLhE | unknown.VRSC@                                                          |           2 | 2023-10-30 02:26:45+00 | 2023-11-17 04:11:33+00
 i5TS8eTfyA3iUjUtG4u8brVb5oFQGLeka9 | unknown.VRSC@                                                          |           5 | 2023-09-22 20:56:43+01 | 2024-09-26 07:19:22+01
 i5v3h9FWVdRFbNHU7DfcpGykQjRaHtMqu7 | Verus Coin Foundation.VRSC@                                            |       28250 | 2020-06-24 23:26:53+01 | 2025-10-26 14:44:40+00
 i5w5MuNik5NtLcYmNzcvaoixooEebB6MGV | VRSC@                                                                  |           5 | 2023-11-16 10:09:53+00 | 2025-04-30 19:20:05+01
 i5WRGYfHJbSaWuj4u85ypKW5PVisESrvY1 | Jay.VRSC@                                                              |        1621 | 2021-08-24 13:43:55+01 | 2024-06-29 08:17:51+01
 i5Y6GLecTQAdrY7rKZdh1xcRbgTfgVNuPh | MichaelTZajac.VRSC@                                                    |           1 | 2023-03-03 13:03:14+00 | 2023-03-03 13:03:14+00
 i5Z9TTBmafFQAb6cWjiDTDp756bGoUUqwY | unknown.VRSC@                                                          |           7 | 2022-06-29 12:57:47+01 | 2023-10-28 23:07:44+01
 i6513t8Ax1LWkRqf8qK29iLY8Nvsd2zZX5 | unknown.VRSC@                                                          |          67 | 2021-12-19 18:22:11+00 | 2025-07-04 16:34:36+01
 i65HktiKrEDtKTFu2RVK3Xq9fLCVcbJpnD | fa.VRSC@                                                               |         155 | 2024-06-15 03:43:46+01 | 2025-10-26 01:36:39+00
 i65ipFGotpmkPTzxMKs1jBC4DfSNktwYvW | unknown.VRSC@                                                          |         346 | 2020-08-20 21:03:06+01 | 2025-07-09 20:35:56+01
 i675aMhsNGr4pd4jYtheZ4hBkwa28X3ygr | unknown.VRSC@                                                          |         118 | 2023-11-17 12:18:14+00 | 2024-05-25 13:42:00+01
 i6c5WNgikStWmV7jubt42R8GFwR6mkBDQ5 | convo.VRSC@                                                            |        1521 | 2023-10-08 11:28:14+01 | 2025-10-26 05:39:26+00
 i6C7XYJ2rBdRcQCgeTHVKgXr7KttK8D3e9 | unknown.VRSC@                                                          |         266 | 2023-08-16 02:46:20+01 | 2024-10-16 09:30:21+01
 i6h172kyUrXZQn13EyxcNBzQhn9i5dSBgF | unknown.VRSC@                                                          |           4 | 2024-04-21 06:30:08+01 | 2024-06-06 18:49:26+01
 i6HRJuzHug7p1NXNEWFZzYuXq9Q5b6kw5E | vDEXWitness1.VRSC@                                                     |           1 | 2024-08-31 06:43:41+01 | 2024-08-31 06:43:41+01
 i6JwFUM9UpXB1W7PJ8ToTsd14o3rEL7zqK | unknown.VRSC@                                                          |           1 | 2020-08-17 17:14:03+01 | 2020-08-17 17:14:03+01
 i6K33ZU8s8N8DtcKDV84FeRnCQ7VXqmJ57 | unknown.VRSC@                                                          |         256 | 2021-12-05 21:48:48+00 | 2023-07-20 01:15:32+01
 i6KAZMM6NjWEtN1477BVEjf4k5BhN5BhvC | Lucivere.VRSC@                                                         |           1 | 2020-09-08 20:15:51+01 | 2020-09-08 20:15:51+01
 i6Q48dFjJu3EoFPgn5ZR1vKyVwy85BzhLm | unknown.VRSC@                                                          |         151 | 2022-01-07 23:45:24+00 | 2023-06-07 06:43:22+01
 i6q7DXJogTmySwr9rN9S25khMPThvUMZR1 | shout.VRSC@                                                            |        1288 | 2023-10-08 11:12:51+01 | 2025-10-26 16:43:01+00
 i6rpbFv63d7MMPz6NbmkCfuRB5KFpKs8DF | Functionalize.VRSC@                                                    |        1372 | 2021-08-27 01:03:57+01 | 2024-04-20 06:26:44+01
 i6T5i7jMTJ4hXpNXQA5ehd82fmNQAoy67n | unknown.VRSC@                                                          |           6 | 2024-12-27 01:42:30+00 | 2025-03-24 10:06:20+00
 i6TpVki2973aoMpxUCskNMzYe33FFvdyXk | convex.VRSC@                                                           |        1011 | 2024-10-07 03:22:51+01 | 2025-10-11 23:13:18+01
 i6WFiEf5hD7CuDxeyfhQfZT6YCfNnTDuv1 | Lokusta_Project.VRSC@                                                  |          28 | 2022-06-21 15:00:56+01 | 2025-10-08 13:08:38+01
 i6wfpLsDnQF4suHMXrYsV7pLXPa6NPLUNi | Tomato.VRSC@                                                           |           9 | 2024-11-06 07:31:40+00 | 2025-09-09 03:51:51+01
 i6Whr1yNoeVHUMgyq1KWRhHeTszRVCBQXS | Contest.VRSC@                                                          |           6 | 2020-06-21 06:43:46+01 | 2023-06-02 12:15:29+01
 i6yb8PNuWk7gecLFfc8w2BKTqmshCMERBr | unknown.VRSC@                                                          |           2 | 2023-12-20 11:46:11+00 | 2025-08-18 15:30:51+01
 i71fH5e4ueoz6Xxib8niWpgrypwmGWjUCG | unknown.VRSC@                                                          |        6064 | 2024-10-05 06:23:02+01 | 2025-08-04 06:18:30+01
 i71YHMQjHiyaS4vKL4EUneC4qxf3HH7BVF | gcb.VRSC@                                                              |        1917 | 2024-10-06 23:16:34+01 | 2025-10-12 03:37:18+01
 i725s96yoqPj2JFrVpprjN97G7n9DiV3cs | unknown.VRSC@                                                          |           1 | 2022-04-10 08:31:41+01 | 2022-04-10 08:31:41+01
 i73kp4698TGkzT51NfdbmS2h4mYJyd5k5V | unknown.VRSC@                                                          |          18 | 2023-01-21 01:50:40+00 | 2023-10-07 01:38:27+01
 i773FU175RFAy4HLZxhReUfdwHLsksQaPy | Quipacorn.VRSC@                                                        |          51 | 2020-09-16 23:17:18+01 | 2025-09-06 18:16:37+01
 i7accmMFX2ch4m8s4EFGvuaMkcG6c6dttG | Hankins.VRSC@                                                          |           9 | 2024-04-30 13:59:35+01 | 2025-03-03 14:38:03+00
 i7Aq98EPZg5LxFaxESUkNG6ken3hqbmAmT | unknown.VRSC@                                                          |           2 | 2021-08-29 16:03:18+01 | 2021-10-26 16:31:52+01
